ID	Input file	hits@1	hits@1 (pvalue<0.05)	hits@3	hits@3 (pvalue<0.05)	hits@5	hits@5 (pvalue<0.05)	hits@10	hits@10 (pvalue<0.05)	hit_rate@1	hit_rate@1 (pvalue<0.05)	hit_rate@3	hit_rate@3 (pvalue<0.05)	hit_rate@5	hit_rate@5 (pvalue<0.05)	hit_rate@10	hit_rate@10 (pvalue<0.05)	precision@1	precision@1 (pvalue<0.05)	precision@3	precision@3 (pvalue<0.05)	precision@5	precision@5 (pvalue<0.05)	precision@10	precision@10 (pvalue<0.05)	recall@1	recall@1 (pvalue<0.05)	recall@3	recall@3 (pvalue<0.05)	recall@5	recall@5 (pvalue<0.05)	recall@10	recall@10 (pvalue<0.05)	f1@1	f1@1 (pvalue<0.05)	f1@3	f1@3 (pvalue<0.05)	f1@5	f1@5 (pvalue<0.05)	f1@10	f1@10 (pvalue<0.05)	mrr@1	mrr@1 (pvalue<0.05)	mrr@3	mrr@3 (pvalue<0.05)	mrr@5	mrr@5 (pvalue<0.05)	mrr@10	mrr@10 (pvalue<0.05)	map@1	map@1 (pvalue<0.05)	map@3	map@3 (pvalue<0.05)	map@5	map@5 (pvalue<0.05)	map@10	map@10 (pvalue<0.05)	ndcg@1	ndcg@1 (pvalue<0.05)	ndcg@3	ndcg@3 (pvalue<0.05)	ndcg@5	ndcg@5 (pvalue<0.05)	ndcg@10	ndcg@10 (pvalue<0.05)	ndcg_burges@1	ndcg_burges@1 (pvalue<0.05)	ndcg_burges@3	ndcg_burges@3 (pvalue<0.05)	ndcg_burges@5	ndcg_burges@5 (pvalue<0.05)	ndcg_burges@10	ndcg_burges@10 (pvalue<0.05)	r-precision	r-precision (pvalue<0.05)	bpref	bpref (pvalue<0.05)	Jaccard@1	Jaccard@1 (pvalue<0.05)	Jaccard_dist@1	Jaccard_dist@1 (pvalue<0.05)	Jaccard@3	Jaccard@3 (pvalue<0.05)	Jaccard_dist@3	Jaccard_dist@3 (pvalue<0.05)	Jaccard@5	Jaccard@5 (pvalue<0.05)	Jaccard_dist@5	Jaccard_dist@5 (pvalue<0.05)	Jaccard@10	Jaccard@10 (pvalue<0.05)	Jaccard_dist@10	Jaccard_dist@10 (pvalue<0.05)	
run_1	resultats_semeval-QE-doublesent-paraphrases/qe_semeval_es_dccuchile_bert-base-spanish-wwm-cased_m2.txt	0.0213		0.0638		0.0851	run_5;run_6;run_7;run_11;run_12;run_13	0.234	run_5;run_6;run_7;run_11;run_12;run_13	0.0213		0.0638		0.0851	run_5;run_6;run_7;run_11;run_12;run_13	0.234	run_5;run_6;run_7;run_11;run_12;run_13	0.0213		0.0213		0.017	run_5;run_6;run_7;run_11;run_12;run_13	0.0234	run_5;run_6;run_7;run_11;run_12;run_13	0.0106		0.022		0.0273		0.0848	run_5;run_6;run_7;run_11;run_12;run_13	0.0142		0.0138		0.0103		0.0165	run_5;run_6;run_7;run_11;run_12;run_13	0.0213		0.0355		0.0408		0.0581	run_5;run_6;run_7;run_11;run_12;run_13	0.0106		0.0144		0.0158		0.0225	run_5;run_7;run_11;run_13	0.0106		0.0173		0.0179		0.0339	run_5;run_6;run_7;run_11;run_12;run_13	0.0071		0.0129		0.0132		0.0257	run_5;run_6;run_7;run_11;run_12;run_13	0.0273		nan		1.0		0.0		0.2		0.8		0.2857		0.7143		0.1818		0.8182		
run_2	resultats_semeval-QE-doublesent-paraphrases/double_semeval_es_dccuchile_bert-base-spanish-wwm-cased_sepFalse.txt	0.0213		0.0426		0.1064	run_5;run_6;run_7;run_11;run_12;run_13	0.2979	run_3;run_5;run_6;run_7;run_9;run_11;run_12;run_13	0.0213		0.0426		0.1064	run_5;run_6;run_7;run_11;run_12;run_13	0.2766	run_5;run_6;run_7;run_11;run_12;run_13	0.0213		0.0142		0.0213	run_5;run_6;run_7;run_11;run_12;run_13	0.0298	run_3;run_5;run_6;run_7;run_9;run_11;run_12;run_13	0.0035		0.0106		0.0273	run_5;run_6;run_7;run_11;run_12;run_13	0.0959	run_3;run_5;run_6;run_7;run_9;run_11;run_12;run_13	0.0061		0.0047		0.0039		0.0121		0.0213		0.0319		0.0479		0.068	run_5;run_6;run_7;run_11;run_12;run_13	0.0035		0.0071		0.0113	run_5;run_6;run_7;run_11;run_12;run_13	0.0196	run_5;run_6;run_7;run_11;run_12;run_13	0.0142		0.0104		0.0133		0.0323	run_5;run_6;run_7;run_11;run_12;run_13	0.0051		0.005		0.0064		0.0205	run_5;run_6;run_7;run_11;run_12;run_13	0.0202		nan		1.0		0.0		0.5		0.5		0.2857		0.7143		0.1667		0.8333		
run_3	resultats_semeval-QE-doublesent-paraphrases/double_semeval_es_dccuchile_bert-base-spanish-wwm-uncased_sepFalse.txt	0.0213		0.0426		0.0851	run_5;run_6;run_7;run_11;run_12;run_13	0.1277	run_5;run_7;run_11;run_13	0.0213		0.0426		0.0851	run_5;run_6;run_7;run_11;run_12;run_13	0.1277	run_5;run_7;run_11;run_13	0.0213		0.0142		0.017	run_5;run_6;run_7;run_11;run_12;run_13	0.0128	run_5;run_7;run_11;run_13	0.0071		0.0124		0.0284		0.039	run_5;run_6;run_7;run_11;run_12;run_13	0.0106		0.0071		0.0053		0.0033		0.0213		0.0319		0.0415		0.0468		0.0071		0.0098		0.0132		0.0145		0.0071		0.0064		0.0132		0.0205	run_5;run_6;run_7;run_11;run_12;run_13	0.003		0.0029		0.0082		0.0176	run_5;run_6;run_7;run_11;run_12;run_13	0.0177		nan		1.0		0.0		0.5		0.5		0.2857		0.7143		0.1667		0.8333		
run_4	resultats_semeval-QE-doublesent-paraphrases/double_semeval_es_PlanTL-GOB-ES_roberta-base-bne_sepFalse.txt	0.0213		0.0851	run_5;run_6;run_7;run_11;run_12;run_13	0.1702	run_5;run_6;run_7;run_11;run_12;run_13	0.383	run_3;run_5;run_6;run_7;run_9;run_11;run_12;run_13	0.0213		0.0851	run_5;run_6;run_7;run_11;run_12;run_13	0.1489	run_5;run_6;run_7;run_11;run_12;run_13	0.3191	run_3;run_5;run_6;run_7;run_9;run_11;run_12;run_13	0.0213		0.0284	run_5;run_6;run_7;run_11;run_12;run_13	0.034	run_5;run_6;run_7;run_11;run_12;run_13	0.0383	run_3;run_5;run_6;run_7;run_9;run_11;run_12;run_13	0.0071		0.0301		0.0674	run_5;run_6;run_7;run_11;run_12;run_13	0.1146	run_3;run_5;run_6;run_7;run_9;run_11;run_12;run_13	0.0106		0.0071		0.0175		0.0191	run_5;run_6;run_7;run_11;run_12;run_13	0.0213		0.0461		0.061	run_5;run_6;run_7;run_11;run_12;run_13	0.0829	run_5;run_6;run_7;run_11;run_12;run_13	0.0071		0.016		0.0261	run_5;run_6;run_7;run_11;run_12;run_13	0.0327	run_5;run_6;run_7;run_11;run_12;run_13	0.0142		0.022		0.0355	run_5;run_6;run_7;run_11;run_12;run_13	0.0493	run_5;run_6;run_7;run_11;run_12;run_13	0.0091		0.0188		0.0289	run_5;run_6;run_7;run_11;run_12;run_13	0.0364	run_5;run_6;run_7;run_11;run_12;run_13	0.0314	run_5;run_7;run_11;run_13	nan		1.0		0.0		0.5		0.5		0.3333		0.6667		0.2		0.8		
run_5	resultats_semeval-QE-doublesent-paraphrases/double_semeval_es_roberta-base_sepFalse.txt	0.0		0.0		0.0		0.0		0.0		0.0		0.0		0.0		0.0		0.0		0.0		0.0		0.0		0.0		0.0		0.0		0.0		0.0		0.0		0.0		0.0		0.0		0.0		0.0		0.0		0.0		0.0		0.0		0.0		0.0		0.0		0.0		0.0		0.0		0.0		0.0		0.0		0.0		0.0		1.0		0.0		1.0		0.0		1.0		0.0		1.0		
run_6	resultats_semeval-QE-doublesent-paraphrases/double_semeval_es_roberta-large_sepFalse.txt	0.0		0.0		0.0		0.0213		0.0		0.0		0.0		0.0213		0.0		0.0		0.0		0.0021		0.0		0.0		0.0		0.003		0.0		0.0		0.0		0.0		0.0		0.0		0.0		0.003		0.0		0.0		0.0		0.0004		0.0		0.0		0.0		0.0016		0.0		0.0		0.0		0.0006		0.003		0.003		0.0		1.0		0.0		1.0		0.0		1.0		0.0		1.0		
run_7	resultats_semeval-QE-doublesent-paraphrases/double_semeval_es_skimai_spanberta-base-cased_sepFalse.txt	0.0		0.0		0.0		0.0		0.0		0.0		0.0		0.0		0.0		0.0		0.0		0.0		0.0		0.0		0.0		0.0		0.0		0.0		0.0		0.0		0.0		0.0		0.0		0.0		0.0		0.0		0.0		0.0		0.0		0.0		0.0		0.0		0.0		0.0		0.0		0.0		0.0		0.0		0.0		1.0		0.0		1.0		0.0		1.0		0.0		1.0		
run_8	resultats_semeval-QE-doublesent-paraphrases/score_double_semeval_es_dccuchile_bert-base-spanish-wwm-cased_sepFalse.txt	0.0213		0.0426		0.1064	run_5;run_6;run_7;run_11;run_12;run_13	0.2979	run_3;run_5;run_6;run_7;run_9;run_11;run_12;run_13	0.0213		0.0426		0.1064	run_5;run_6;run_7;run_11;run_12;run_13	0.2766	run_5;run_6;run_7;run_11;run_12;run_13	0.0213		0.0142		0.0213	run_5;run_6;run_7;run_11;run_12;run_13	0.0298	run_3;run_5;run_6;run_7;run_9;run_11;run_12;run_13	0.0035		0.0106		0.0273	run_5;run_6;run_7;run_11;run_12;run_13	0.0959	run_3;run_5;run_6;run_7;run_9;run_11;run_12;run_13	0.0061		0.0047		0.0039		0.0121		0.0213		0.0319		0.0479		0.068	run_5;run_6;run_7;run_11;run_12;run_13	0.0035		0.0071		0.0113	run_5;run_6;run_7;run_11;run_12;run_13	0.0196	run_5;run_6;run_7;run_11;run_12;run_13	0.0142		0.0104		0.0133		0.0323	run_5;run_6;run_7;run_11;run_12;run_13	0.0051		0.005		0.0064		0.0205	run_5;run_6;run_7;run_11;run_12;run_13	0.0202		nan		1.0		0.0		0.5		0.5		0.2857		0.7143		0.1667		0.8333		
run_9	resultats_semeval-QE-doublesent-paraphrases/score_double_semeval_es_dccuchile_bert-base-spanish-wwm-uncased_sepFalse.txt	0.0213		0.0426		0.0851	run_5;run_6;run_7;run_11;run_12;run_13	0.1277	run_5;run_7;run_11;run_13	0.0213		0.0426		0.0851	run_5;run_6;run_7;run_11;run_12;run_13	0.1277	run_5;run_7;run_11;run_13	0.0213		0.0142		0.017	run_5;run_6;run_7;run_11;run_12;run_13	0.0128	run_5;run_7;run_11;run_13	0.0071		0.0124		0.0284		0.039	run_5;run_6;run_7;run_11;run_12;run_13	0.0106		0.0071		0.0053		0.0033		0.0213		0.0319		0.0415		0.0468		0.0071		0.0098		0.0132		0.0145		0.0071		0.0064		0.0132		0.0205	run_5;run_6;run_7;run_11;run_12;run_13	0.003		0.0029		0.0082		0.0176	run_5;run_6;run_7;run_11;run_12;run_13	0.0177		nan		1.0		0.0		0.5		0.5		0.2857		0.7143		0.1667		0.8333		
run_10	resultats_semeval-QE-doublesent-paraphrases/score_double_semeval_es_PlanTL-GOB-ES_roberta-base-bne_sepFalse.txt	0.0213		0.0851	run_5;run_6;run_7;run_11;run_12;run_13	0.1702	run_5;run_6;run_7;run_11;run_12;run_13	0.383	run_3;run_5;run_6;run_7;run_9;run_11;run_12;run_13	0.0213		0.0851	run_5;run_6;run_7;run_11;run_12;run_13	0.1489	run_5;run_6;run_7;run_11;run_12;run_13	0.3191	run_3;run_5;run_6;run_7;run_9;run_11;run_12;run_13	0.0213		0.0284	run_5;run_6;run_7;run_11;run_12;run_13	0.034	run_5;run_6;run_7;run_11;run_12;run_13	0.0383	run_3;run_5;run_6;run_7;run_9;run_11;run_12;run_13	0.0071		0.0301		0.0674	run_5;run_6;run_7;run_11;run_12;run_13	0.1146	run_3;run_5;run_6;run_7;run_9;run_11;run_12;run_13	0.0106		0.0071		0.0175		0.0191	run_5;run_6;run_7;run_11;run_12;run_13	0.0213		0.0461		0.061	run_5;run_6;run_7;run_11;run_12;run_13	0.0829	run_5;run_6;run_7;run_11;run_12;run_13	0.0071		0.016		0.0261	run_5;run_6;run_7;run_11;run_12;run_13	0.0327	run_5;run_6;run_7;run_11;run_12;run_13	0.0142		0.022		0.0355	run_5;run_6;run_7;run_11;run_12;run_13	0.0493	run_5;run_6;run_7;run_11;run_12;run_13	0.0091		0.0188		0.0289	run_5;run_6;run_7;run_11;run_12;run_13	0.0364	run_5;run_6;run_7;run_11;run_12;run_13	0.0314	run_5;run_7;run_11;run_13	nan		1.0		0.0		0.5		0.5		0.3333		0.6667		0.2		0.8		
