pbs	frecLEXIN
a	3,493
ababoles	3
abajo	30
abandonada	2
abandonado	3
abandonar	2
abandones	4
abandonó	1
abanica	1
abanico	19
abarca	1
abdé	5
abeba	1
abecedario	12
abedul	3
abeja	29
abejas	19
abejorro	12
abel	1
abeto	12
abetos	1
abi	1
abierta	8
abiertas	4
abierto	11
abiertos	5
abisalia	3
abogado	1
abono	4
abras	1
abraso	1
abrasó	1
abraza	2
abrazado	2
abrazan	3
abrazar	1
abrazaron	1
abrazo	6
abrazó	4
abrazos	3
abre	17
abrelatas	2
abren	3
abres	2
abrí	4
abría	10
abrían	2
abriendo	3
abrieron	7
abriga	2
abrigaba	1
abrigar	1
abrigas	1
abrigo	27
abrigos	1
abril	25
abrió	15
abrir	9
abrirá	1
abrirla	1
abrirse	6
abro	3
abrocha	2
abrochado	1
abróchate	1
abrochó	2
ábside	2
absolutamente	1
absoluto	2
absorbe	2
abstemio	1
abuela	112
abuelas	3
abuelita	14
abuelito	3
abuelo	206
abuelos	26
abundancia	2
abundante	3
abundantemente	1
aburre	1
aburría	5
aburrida	5
aburridas	1
aburrido	9
aburrieron	7
aburrió	1
aburro	4
acá	3
acaba	11
acababa	4
acabado	10
acabamos	3
acaban	4
acabar	6
acabara	2
acabará	2
acabaron	3
acabase	2
acabe	1
acabes	1
acabo	5
acabó	10
acacias	1
acampada	5
acampar	1
acampó	3
acantilado	2
acantilados	1
acaricia	10
acarician	3
acariciando	1
acariciar	1
acariciarla	2
acariciarle	1
acaricio	1
acarició	7
acaso	7
acatarrada	2
acatarrado	2
accidentes	1
acción	5
acciones	1
aceite	22
aceituna	5
aceitunas	9
acelerando	1
acelgas	3
acento	3
aceptará	1
aceptaron	4
acepte	1
aceptó	1
acequia	1
acequias	1
acera	9
aceras	4
acerca	9
acercaba	6
acercábamos	1
acercaban	3
acercáis	3
acercamos	2
acercan	9
acercando	1
acercándose	1
acercaran	1
acercaron	3
acercarse	5
acercas	1
acércate	4
acerco	1
acercó	5
acero	3
acerquemos	2
acerques	1
acertadamente	1
acertijos	2
acertó	1
acierta	2
aciértalo	1
aciertas	3
aclara	4
aclarar	3
aclaró	2
acoge	1
acogedor	1
acogida	1
acojo	2
acomodó	6
acompaña	5
acompañaba	3
acompañaban	1
acompañan	3
acompañando	1
acompañaran	1
acompañaría	1
acompañarla	3
acompañarlo	1
acompañarme	2
acompañé	1
acompaño	2
acompañó	3
acordado	1
acordara	1
acordaron	1
acordarse	1
acordeonista	1
acordó	2
acortan	1
acostaba	1
acostaban	1
acostado	1
acostamos	1
acostando	1
acostar	1
acostaron	1
acostarse	9
acostó	2
acostumbrada	2
acostumbrado	1
acostumbrando	1
acróbata	6
actitudes	2
actividades	4
activo	3
acto	6
actor	5
actores	6
actos	6
actriz	3
actuaba	2
actuaban	2
actuación	1
actúan	3
actuaron	1
acuarelas	1
acuática	1
acuático	2
acuáticos	1
acudan	2
acude	3
acuden	2
acudía	2
acudieron	7
acudió	4
acuerdas	3
acuérdate	1
acuerdo	15
acuesta	5
acuesto	1
acuna	2
acunaba	1
acunando	1
acurruca	2
acurrucado	2
acurrucados	1
acurrucó	5
acusa	2
achís	8
adaptación	5
adecuada	2
adecuadas	2
adecuado	1
adecuados	2
adela	7
adelantará	3
adelante	5
adelgazado	2
adelina	1
además	38
adentraba	1
adentraron	2
adhesivo	1
adhesivos	10
adiós	31
adivina	26
adivinaba	1
adivinanza	30
adivinanzas	6
adivinar	3
adivinas	5
adivine	5
adivino	3
adivinó	1
admiración	2
admirado	3
admirados	1
admiran	1
admirar	1
admitirá	1
adolfo	1
adonde	2
adónde	4
adoptado	2
adoptáramos	2
adopto	1
adoquín	2
adormilado	1
adorna	2
adornaban	4
adornado	2
adornan	1
adornando	19
adorno	2
adornos	1
adquirió	1
adrián	1
adriana	1
adulto	1
advertí	2
advierten	1
advirtiéndoles	1
advirtieron	3
advirtió	6
aéreo	1
aeropuerto	3
afán	4
afana	1
afeita	1
afeitan	1
afganistán	2
afila	4
afilada	1
afilados	9
afina	1
afirman	2
afirmó	1
afortunadamente	1
afortunado	1
afortunados	3
africa	1
áfrica	4
afuera	1
afueras	2
ag	1
agachaba	1
agachado	3
agacharse	1
agachó	2
agarra	6
agarraba	1
agarrado	1
agarrándolos	1
agarrarlo	1
agarró	2
ágata	10
agazapa	1
agenda	7
agente	2
ágil	5
agilidad	1
agita	2
agitaba	1
agitar	1
agosto	1
agotada	1
agotadas	1
agotaron	4
agradable	7
agradables	2
agradece	1
agradecen	1
agradecerles	1
agradecida	2
agradecido	4
agradecidos	1
agradecimiento	4
agradeció	2
agradezco	6
agrado	3
agricultor	4
agricultora	2
agricultores	3
agrietado	1
agua	256
aguacate	2
aguacates	1
aguándose	2
aguantarlo	6
aguardan	2
aguardar	2
aguas	15
agudo	2
águeda	19
aguijón	3
águila	57
águilas	3
aguilucho	1
agüita	6
aguja	17
agujas	4
agujeritos	2
agujero	18
agujeros	7
agujita	3
agustín	1
ah	21
ahí	26
ahoga	3
ahora	109
ahorrativo	1
ahorro	3
ahorros	1
ahueca	1
ahumado	1
ahumados	2
aida	1
aire	45
aires	7
aisla	1
aitor	2
ajá	3
ajedrez	8
ajeno	1
ajo	10
ajonjolí	3
ajos	4
ajustaba	1
al	1,087
ala	44
alaban	2
aladino	3
alambrada	1
alambres	5
alameda	4
álamo	5
álamos	4
alargaba	1
alargada	2
alargadas	2
alargado	2
alargando	1
alargó	2
alarma	2
alarmada	2
alas	37
alaska	1
alba	6
albahaca	2
albañil	6
albañiles	4
albaricoque	3
albaricoqueros	1
albaricoques	1
alberca	2
albero	1
alberti	9
alberto	18
albóndiga	2
albornoz	3
alboroto	5
álbum	10
alcalá	1
alcalde	20
alcaldesa	1
alcantarilla	2
alcanza	2
alcanzan	1
alcanzar	1
alcanzarla	1
alcanzó	2
alcañices	1
alcañiz	1
alcoba	5
alcohol	10
alcornoque	1
aldea	13
ale	3
alegra	1
alegraba	1
alegran	6
alegraron	5
alegre	28
alegremente	2
alegres	8
alegría	29
alegró	6
aleja	3
alejaban	5
alejadas	1
alejan	4
alejandro	5
alejaron	4
alejéis	2
alejó	8
alelí	2
alemana	3
alemanes	2
alemania	3
alero	1
alerta	2
aleta	2
aletas	2
aletean	8
álex	6
alexandra	1
alexia	5
alfabeto	2
alfiler	3
alfombra	13
alfombras	3
alfonso	1
alfredo	10
algarabía	2
algas	10
algo	71
algodón	19
algodones	3
alguacil	5
alguien	14
algún	14
alguna	21
algunas	20
alguno	6
algunos	37
alhajas	1
alhelí	3
ali	4
alí	4
alía	1
alicante	7
alicates	2
alicia	7
alim	11
alimenta	6
alimentaba	3
alimentación	3
alimentados	1
alimentan	2
alimentar	3
alimentarás	1
alimenten	1
alimento	13
alimentó	2
alimentos	13
aliñado	1
alisa	5
alma	13
almacén	3
almacenar	2
almanaque	2
almeja	7
almejas	5
almejitas	4
almenas	5
almendra	3
almendras	5
almendro	7
almendros	1
almíbar	2
almibarar	1
almohada	9
almohadones	1
almu	1
almudena	1
almuerzo	4
alocada	6
alondra	2
alondras	3
alonso	1
alpiste	11
alquilan	1
alquimista	1
alrededor	14
alrededores	4
alta	42
altar	1
altas	7
altavoces	3
altavoz	1
altísima	2
altísimo	2
altísimos	1
alto	89
altos	9
altura	8
alumbra	2
alumbrar	6
alumna	1
alumnado	3
alumnas	2
alumno	6
alumnos	5
álvaro	18
alzan	1
allá	6
allende	1
allí	99
ama	29
amable	8
amablemente	4
amables	3
amada	4
amadeo	5
amador	1
amalia	13
aman	1
amanece	3
amanecer	6
amanecía	1
amaneciendo	2
amanezca	2
amapola	23
amapolas	16
amapolita	2
amarilla	16
amarillas	10
amarillentas	2
amarillo	45
amarillos	12
amarra	2
amarrados	4
amarró	1
amasa	7
amasar	1
amasaron	3
amasijo	1
amaya	5
ámbar	3
ambiciosa	1
ambicioso	2
ambientación	7
ambiente	6
ambo	2
ambos	2
ambrosio	1
ambulancia	7
ambulante	3
amelia	11
amenazador	10
amenazadora	2
américa	2
americana	1
amiga	48
amigablemente	1
amigas	10
amigo	86
amigos	135
amiguete	1
amiguito	1
amiguitos	7
amistad	7
amistosamente	2
amistosos	2
amo	14
amontonaba	1
amor	16
amoratados	1
amos	2
amparo	14
ampliación	3
amplias	3
amplio	3
ampolla	2
ampollas	1
ana	201
anafre	4
analfabetos	2
anaranjado	2
ancas	2
anciana	3
anciano	7
ancianos	3
ancla	6
ancha	2
anchas	3
ancho	5
anchoas	1
anda	22
andaba	3
andaban	1
andalucía	4
andaluz	1
andamios	1
andamos	4
andan	7
andando	9
andar	13
andares	2
andas	1
ande	7
andén	2
andes	1
ando	3
andrea	4
andrés	5
anfibio	2
anfibios	3
ánfora	3
ángel	32
ángela	6
ángeles	9
angelito	8
angelitos	4
anginas	2
anguila	3
anida	1
anidan	2
anillas	1
anillito	2
anillo	20
anillos	3
anima	2
animaba	2
animada	4
animado	2
animados	3
animal	56
animales	160
animalillos	5
animalito	3
animalitos	6
animan	1
animando	1
animara	1
animaré	1
animarnos	1
ánimas	4
anímate	3
ánimo	5
anís	2
anita	2
anoche	11
anochece	3
anochecer	3
anocheciendo	5
anocheció	5
anónimo	1
anorak	14
anoraks	2
ante	10
antena	16
antenas	5
anterior	6
anteriores	5
antes	59
antifaz	6
antigua	6
antiguas	2
antiguo	7
antiguos	3
antipática	2
antipático	1
antoje	2
antojos	1
antón	3
antonio	17
antorcha	5
anuncia	2
anuncian	4
anunciar	8
anunciaron	1
anuncio	1
anunció	3
anuncios	2
anzuelo	2
anzuelos	6
añade	4
añaden	3
añadí	1
añadía	1
añadimos	2
añadió	7
añadir	1
añado	1
añil	2
año	51
añojo	2
añora	1
añoraba	3
años	53
apa	2
apaga	4
apagaba	1
apagada	3
apagado	4
apagamos	2
apagan	3
apagar	4
apagara	3
apagó	2
apagón	2
apague	1
apagué	2
apaludió	1
aparador	2
aparato	3
aparatos	2
aparcado	1
aparcados	1
aparcamiento	1
aparece	21
aparecen	14
aparecerá	3
aparecerán	4
aparecérsele	5
aparecían	1
aparecido	1
aparecieron	11
aparecimos	1
apareció	18
aparezcan	2
apártate	9
aparte	8
apellido	2
apellidos	15
apenada	3
apenado	5
apenados	2
apenas	7
aperitivo	2
apetecen	1
apetecía	1
apeteció	1
apetito	5
apetitoso	2
apio	1
apios	1
aplaste	8
aplauden	2
aplaudía	3
aplaudían	1
aplaudido	1
aplaudiendo	1
aplaudieron	2
aplaudir	3
aplausos	1
aplicado	1
apostaron	2
apoya	1
apoyó	3
apreciáis	1
aprecian	4
aprenda	2
aprende	8
aprended	1
aprendemos	2
aprender	20
aprenderse	4
aprendes	1
apréndete	1
aprendido	9
aprendiendo	8
aprendiéndose	4
aprendiera	3
